id_15_min_candles,company_id,currCandleTime,currClosePrice,prevCandleTIme,prevOpenPrice,company
1295350,10,"2015-10-20 14:45:00",531.61,"2015-10-20 13:00:00",507.30,BAJFINANCE
1295350,10,"2015-10-20 14:45:00",531.61,"2015-10-20 13:15:00",513.60,BAJFINANCE
1295350,10,"2015-10-20 14:45:00",531.61,"2015-10-20 13:45:00",514.54,BAJFINANCE
1297664,10,"2015-05-08 10:15:00",425.69,"2015-05-08 09:15:00",414.52,BAJFINANCE
1298314,10,"2015-01-14 10:15:00",357.50,"2015-01-14 09:15:00",348.30,BAJFINANCE
1298539,10,"2015-01-28 10:15:00",441.00,"2015-01-28 09:15:00",418.10,BAJFINANCE
1298620,10,"2015-02-02 11:45:00",414.50,"2015-02-02 09:15:00",402.50,BAJFINANCE
1306367,11,"2017-01-04 14:45:00",314.30,"2017-01-04 12:15:00",302.00,BHARTIARTL
1306367,11,"2017-01-04 14:45:00",314.30,"2017-01-04 12:30:00",304.85,BHARTIARTL
1306367,11,"2017-01-04 14:45:00",314.30,"2017-01-04 12:45:00",305.20,BHARTIARTL
1306367,11,"2017-01-04 14:45:00",314.30,"2017-01-04 13:00:00",305.45,BHARTIARTL
1307905,11,"2016-11-09 10:45:00",301.35,"2016-11-09 09:15:00",287.00,BHARTIARTL
1307905,11,"2016-11-09 10:45:00",301.35,"2016-11-09 09:30:00",287.00,BHARTIARTL
1307905,11,"2016-11-09 10:45:00",301.35,"2016-11-09 09:45:00",289.00,BHARTIARTL
1316251,11,"2015-04-28 14:00:00",395.40,"2015-04-28 12:00:00",385.00,BHARTIARTL
1329252,12,"2016-11-09 09:45:00",91.27,"2016-11-09 09:15:00",87.33,BHEL
1329268,12,"2016-11-09 13:45:00",92.27,"2016-11-09 11:15:00",89.30,BHEL
1329268,12,"2016-11-09 13:45:00",92.27,"2016-11-09 11:30:00",89.23,BHEL
1329268,12,"2016-11-09 13:45:00",92.27,"2016-11-09 11:45:00",89.60,BHEL
1329270,12,"2016-11-09 14:15:00",92.53,"2016-11-09 11:45:00",89.60,BHEL
1329270,12,"2016-11-09 14:15:00",92.53,"2016-11-09 12:00:00",90.00,BHEL
1329268,12,"2016-11-09 13:45:00",92.27,"2016-11-09 12:15:00",89.20,BHEL
1329270,12,"2016-11-09 14:15:00",92.53,"2016-11-09 12:15:00",89.20,BHEL
1329268,12,"2016-11-09 13:45:00",92.27,"2016-11-09 12:30:00",88.97,BHEL
1329270,12,"2016-11-09 14:15:00",92.53,"2016-11-09 12:30:00",88.97,BHEL
1329268,12,"2016-11-09 13:45:00",92.27,"2016-11-09 12:45:00",89.67,BHEL
1329270,12,"2016-11-09 14:15:00",92.53,"2016-11-09 12:45:00",89.67,BHEL
1329270,12,"2016-11-09 14:15:00",92.53,"2016-11-09 13:00:00",90.00,BHEL
1329783,12,"2016-07-13 11:15:00",95.67,"2016-07-13 09:15:00",92.80,BHEL
1332385,12,"2016-02-15 11:45:00",71.20,"2016-02-15 09:45:00",68.93,BHEL
1332385,12,"2016-02-15 11:45:00",71.20,"2016-02-15 10:00:00",69.13,BHEL
1332434,12,"2016-02-17 11:30:00",69.67,"2016-02-17 09:30:00",67.60,BHEL
1332434,12,"2016-02-17 11:30:00",69.67,"2016-02-17 09:45:00",67.63,BHEL
1332434,12,"2016-02-17 11:30:00",69.67,"2016-02-17 10:00:00",66.97,BHEL
1332434,12,"2016-02-17 11:30:00",69.67,"2016-02-17 10:15:00",67.50,BHEL
1332434,12,"2016-02-17 11:30:00",69.67,"2016-02-17 10:30:00",67.80,BHEL
1333248,12,"2015-11-06 15:00:00",127.53,"2015-11-06 13:45:00",123.87,BHEL
1334426,12,"2016-01-18 14:15:00",96.93,"2016-01-18 11:45:00",93.33,BHEL
1334426,12,"2016-01-18 14:15:00",96.93,"2016-01-18 12:00:00",93.30,BHEL
1334426,12,"2016-01-18 14:15:00",96.93,"2016-01-18 12:15:00",93.27,BHEL
1334426,12,"2016-01-18 14:15:00",96.93,"2016-01-18 12:30:00",94.50,BHEL
1343020,13,"2017-11-17 11:30:00",400.60,"2017-11-17 09:15:00",385.50,BIOCON
1343020,13,"2017-11-17 11:30:00",400.60,"2017-11-17 09:30:00",387.00,BIOCON
1343020,13,"2017-11-17 11:30:00",400.60,"2017-11-17 09:45:00",386.85,BIOCON
1343963,13,"2017-08-11 13:00:00",344.65,"2017-08-11 10:45:00",335.80,BIOCON
1343963,13,"2017-08-11 13:00:00",344.65,"2017-08-11 11:00:00",335.25,BIOCON
1343997,13,"2017-08-14 15:15:00",349.20,"2017-08-14 12:45:00",340.05,BIOCON
1343997,13,"2017-08-14 15:15:00",349.20,"2017-08-14 13:00:00",340.00,BIOCON
1344650,13,"2017-04-25 09:45:00",386.58,"2017-04-25 09:15:00",371.72,BIOCON
1344650,13,"2017-04-25 09:45:00",386.58,"2017-04-25 09:30:00",376.38,BIOCON
1345237,13,"2017-05-29 12:45:00",317.98,"2017-05-29 10:15:00",308.87,BIOCON
1345237,13,"2017-05-29 12:45:00",317.98,"2017-05-29 10:30:00",308.08,BIOCON
