companyID,MainCandleTime,MainCandleClose,MinCandleTime,MinCLose,MaxLoss,Name
69,"2016-07-25 10:45:00",170.55,"2016-07-25 12:30:00",168.85,1.70,VEDL
69,"2016-07-25 14:45:00",173.20,"2016-07-25 15:15:00",172.00,1.20,VEDL
69,"2016-06-08 11:15:00",111.60,"2016-06-08 12:15:00",110.70,0.90,VEDL
69,"2016-06-08 11:30:00",111.55,"2016-06-08 12:15:00",110.70,0.85,VEDL
69,"2016-01-19 11:15:00",70.10,"2016-01-19 14:30:00",68.75,1.35,VEDL
69,"2016-01-29 11:30:00",72.40,"2016-01-29 14:45:00",70.90,1.50,VEDL
69,"2016-02-03 14:30:00",62.40,"2016-02-03 15:00:00",61.50,0.90,VEDL
69,"2016-02-15 10:00:00",68.55,"2016-02-15 10:15:00",69.55,-1.00,VEDL
69,"2016-02-17 11:30:00",69.90,"2016-02-17 12:30:00",69.05,0.85,VEDL
69,"2016-02-17 12:15:00",69.40,"2016-02-17 12:30:00",69.05,0.35,VEDL
69,"2016-02-29 13:30:00",75.00,"2016-02-29 15:15:00",69.70,5.30,VEDL
69,"2016-03-01 15:00:00",74.90,"2016-03-01 15:15:00",75.50,-0.60,VEDL
69,"2016-03-04 13:45:00",87.85,"2016-03-04 14:45:00",86.75,1.10,VEDL
69,"2016-01-08 13:00:00",82.10,"2016-01-08 15:00:00",81.00,1.10,VEDL
69,"2015-09-08 14:15:00",94.10,"2015-09-08 15:00:00",93.45,0.65,VEDL
69,"2015-02-03 14:30:00",209.75,"2015-02-03 15:15:00",209.90,-0.15,VEDL
70,"2015-04-21 11:45:00",287.50,"2015-04-21 13:30:00",282.28,5.22,WIPRO
71,"2016-11-09 09:45:00",236.81,"2016-11-09 10:45:00",229.57,7.24,YESBANK
71,"2016-11-09 14:15:00",244.48,"2016-11-09 14:45:00",243.38,1.10,YESBANK
71,"2016-03-02 10:30:00",150.78,"2016-03-02 11:30:00",150.38,0.40,YESBANK
71,"2015-09-29 12:30:00",147.31,"2015-09-29 15:00:00",147.64,-0.33,YESBANK
71,"2015-10-29 14:15:00",148.46,"2015-10-29 14:30:00",148.41,0.05,YESBANK
72,"2016-11-09 13:00:00",505.80,"2016-11-09 14:45:00",505.25,0.55,ZEEL
72,"2016-11-09 13:45:00",513.45,"2016-11-09 14:45:00",505.25,8.20,ZEEL
72,"2015-08-26 11:00:00",369.60,"2015-08-26 15:15:00",367.20,2.40,ZEEL
